Topic,Grade,Original Question,Is Updated,Updated,Time Taken
High Level Addition,7,"Question: Sam has 1,345 apples and Jenny has 2,687 apples. How many apples do they have together?
Options:
A. 3,923
B. 4,032
C. 4,123
D. 4,219
Answer: B",False,,25.89669680595398
High Level Addition,7,"Question: What is the sum of 489 and 536?
Options:
A. 1025
B. 1024
C. 1015
D. 1100
Answer: A",False,,20.534271001815796
High Level Addition,7,"Question: What is the sum of 875 + 326?
Options:
A. 1201
B. 1100
C. 1191
D. 1301
Answer: A",False,,27.219828128814697
High Level Addition,7,"Question: What is the sum of 732 and 985?
Options:
A. 1,707
B. 1,814
C. 1,717
D. 1,699
Answer: C",False,,6.909250020980835
High Level Addition,7,"Question: What is the sum of 356 + 475?
Options:
A. 821
B. 831
C. 850
D. 635
Answer: B",False,,7.1671552658081055
High Level Addition,7,"Question: Kevin has 6 two-digit numbers to add: 15, 27, 34, 22, 58, and 31. Which of the following is closest to the total sum?
Options:
A. 150
B. 175
C. 200
D. 225
Answer: C",True,"Question: Kevin has 6 two-digit numbers to add: 15, 27, 34, 22, 58, and 31. Which of the following is closest to the total sum?
Options:
A. 150
B. 175
C. 200
D. 225
Answer: B",32.40459227561951
High Level Addition,7,"Question: What is the sum of 184 and 239?
Options:
A. 413
B. 424
C. 431
D. 423
Answer: A",False,,20.555968046188354
High Level Addition,7,"Question: What is the sum of 198 and 249?
Options:
A. 337
B. 447
C. 457
D. 467
Answer: D",True,"Question: What is the sum of 198 and 249?
Options:
A. 337
B. 447
C. 457
D. 467
Answer: B",27.751641035079956
High Level Addition,7,"Question: Add 876 and 345:
Options:
A. 1,211
B. 1,221
C. 1,200
D. 1,301
Answer: B",False,,21.888070106506348
High Level Addition,7,"Question: What is the sum of 178 and 324?
Options:
A. 482
B. 502
C. 493
D. 509
Answer: B",True,"Question: What is the sum of 178 and 324?
Options:
A. 482
B. 492
C. 493
D. 509
Answer: B",36.6276490688324
High Level Addition,7,"Question: What is the sum of 543 and 289?
Options:
A. 822
B. 832
C. 837
D. 842
Answer: B",False,,21.561877012252808
High Level Addition,7,"Question: Solve the addition problem: 875 + 349
Options:
A. 1124
B. 1224
C. 1424
D. 1324
Answer: B",False,,18.93537211418152
High Level Addition,7,"Question: Which of the following represents the sum of the numbers 1,235 and 879?
Options:
A. 1,992
B. 2,114
C. 2,013
D. 2,245
Answer: B",False,,7.099860191345215
High Level Addition,7,"Question: What is the sum of 321 + 176?
Options:
A. 497
B. 489
C. 485
D. 510
Answer: A",False,,13.359363079071045
High Level Addition,7,"Question: What is the sum of 534 + 289?
Options:
A. 813
B. 823
C. 833
D. 843
Answer: B",False,,27.035337924957275
High Level Addition,7,"Question: Lisa had 457 apples, and Tim gave her some more apples. Now she has 629 apples in total. How many apples did Tim give to Lisa?
Options:
A. 162
B. 172
C. 182
D. 192
Answer: B",False,,10.65264892578125
High Level Addition,7,"Question: What is the sum of 587 and 336?
Options:
A. 913
B. 921
C. 923
D. 899
Answer: C",False,,20.26819610595703
High Level Addition,7,"Question: Which of the following addition equations is correct?
Options:
A. 134 + 59 = 183
B. 213 + 98 = 301
C. 465 + 37 = 502
D. 521 + 173 = 694
Answer: D",True,"Question: Which of the following addition equations is correct?
Options:
A. 134 + 59 = 183
B. 213 + 98 = 301
C. 465 + 37 = 502
D. 521 + 173 = 693
Answer: C",25.495682954788208
High Level Addition,7,"Question: Add the numbers 567 and 789.
Options:
A. 1,255
B. 1,356
C. 1,157
D. 1,456
Answer: B",False,,19.555453300476074
High Level Addition,7,"Question: Which sum of two large numbers is closest to 680?
Options:
A. 345 + 330
B. 410 + 260
C. 365 + 315
D. 275 + 395
Answer: C",False,,12.439522743225098
High Level Addition,7,"Question: What is the sum of 6274 and 3759?
Options:
A. 10033
B. 10212
C. 10003
D. 9500
Answer: A",False,,6.660762071609497
High Level Addition,7,"Question: What is the sum of 1325 and 4678?
Options:
A. 6000
B. 5998
C. 6003
D. 5993
Answer: C",False,,6.888790130615234
High Level Addition,7,"Question: What is the sum of 4,763 and 2,689?
Options:
A. 6,452
B. 7,442
C. 7,452
D. 7,462
Answer: C",False,,6.901185989379883
High Level Addition,7,"Question: What is the sum of 1,372 + 4,588?
Options:
A. 5,940
B. 5,960
C. 6,050
D. 6,060
Answer: B",False,,18.222859621047974
High Level Addition,7,"Question: What is the sum of 2,478 and 1,039?
Options:
A. 3,407
B. 3,517
C. 3,507
D. 3,512
Answer: B",False,,6.8270909786224365
High Level Addition,7,"Question: What will be the total sum of 4,357 and 2,682?
Options:
A. 7,029
B. 7,039
C. 6,924
D. 6,939
Answer: B",True,"Question: What will be the total sum of 4,357 and 2,682?
Options:
A. 7,029
B. 7,039
C. 6,924
D. 6,139
Answer: D",27.58543109893799
High Level Addition,7,"Question: A charity shop sold a painting for $112, a lamp for $46, and a necklace for $87. What was the total amount earned from selling the three items?
Options:
A. $245
B. $170
C. $204
D. $255
Answer: A",False,,16.390256881713867
High Level Addition,7,"Question: What is the sum of 2589 + 4130?
Options:
A. 4719
B. 6721
C. 6719
D. 5721
Answer: B",True,"Question: What is the sum of 2589 + 4130?
Options:
A. 4719
B. 6721
C. 6719
D. 5721
Answer: C",26.618816137313843
High Level Addition,7,"Question: What is the sum of 2476 + 3947?
Options:
A. 5,423
B. 6,415
C. 6,423
D. 7,415
Answer: C",False,,17.97390389442444
High Level Addition,7,"Question: Tom's Toy Store sold 7840 toys in the morning and twice that number in the afternoon. How many toys did the store sell in total?
Options:
A. 23,520
B. 17,880
C. 15,680
D. 25,680
Answer: A",False,,19.5634663105011
High Level Addition,7,"Question: What is the sum of 2,758 and 1,367?
Options:
A. 4,034
B. 4,125
C. 4,227
D. 4,319
Answer: B",False,,27.39928889274597
High Level Addition,7,"Question: What is the sum of 3,762 and 6,259?
Options:
A. 9,921
B. 10,021
C. 9,201
D. 10,112
Answer: B",False,,31.157604217529297
High Level Addition,7,"Question: Calculate the sum of 2345 and 3891.
Options:
A. 6136
B. 6236
C. 6336
D. 6436
Answer: B",False,,20.676111221313477
High Level Addition,7,"Question: Calculate the sum of 3,567 and 2,484.
Options:
A. 6,041
B. 5,951
C. 6,051
D. 6,042
Answer: C",True,"Question: Calculate the sum of 3,567 and 2,484.
Options:
A. 6,041
B. 5,951
C. 6,051
D. 6,042
Answer: A",29.66709613800049
