Topic,Grade,Original Question,Is Updated,Updated,Time Taken
History,University,"Question: Unscramble the words to form a coherent statement about a significant figure of the Renaissance period.
Answers:
1. Leonardo da Vinci was a polymath.
2. Michelangelo was a renowned sculptor.
Scrambled: [sculptor] [.] [,] [Leonardo] [polymath] [da] [Michelangelo] [was] [a] [Vinci] [renowned]
Answers (formatted):
1. [Leonardo] [da] [Vinci] [was] [a] [polymath] [.]
2. [Michelangelo] [was] [a] [renowned] [sculptor] [.]",False,,19.961167335510254
History,University,"Question: Unscramble the given words to form a coherent sentence about a significant individual from the Renaissance period.
Answers:
1. Leonardo da Vinci was a polymath.
2. A polymath, Leonardo da Vinci was.
Scrambled: [Leonardo] [a] [.] [da] [polymath] [was] [Vinci]
Answers (formatted):
1. [Leonardo] [da] [Vinci] [was] [a] [polymath] [.]
2. [A] [polymath] [,] [Leonardo] [da] [Vinci] [was] [.]",True,"Question: Unscramble the given words to form a coherent sentence about a significant individual from the Renaissance period.
Scrambled: [Leonardo] [a] [.] [da] [polymath] [was] [Vinci]
Options:
A. [Leonardo] [da] [Vinci] [was] [a] [polymath] [.]
B. [A] [polymath] [,] [Leonardo] [da] [Vinci] [was] [.]
Answer: Both A and B are correct.",21.088097095489502
History,University,"Question: Unscramble the scrambled words to form a valid sentence about the American Civil War.
Answers:
1. The American Civil War began in 1861 and ended in 1865.
2. Abraham Lincoln was the president during the American Civil War.
Scrambled: [1865] [.] [and] [Lincoln] [1861] [the] [president] [Civil] [American] [War] [during] [in] [Abraham] [began] [ended]
Answers (formatted):
1. [The] [American] [Civil] [War] [began] [in] [1861] [and] [ended] [in] [1865] [.]
2. [Abraham] [Lincoln] [was] [the] [president] [during] [the] [American] [Civil] [War] [.]",False,,13.482290029525757
History,University,"Question: Unscramble the words to form a valid statement about the American Revolution.
Answers:
1. The American Revolution started in 1775.
2. The American Revolution ended in 1783.
Scrambled: [started] [1783] [in] [1775] [] [American] [Revolution] [The] [ended]
Answers (formatted):
1. [The] [American] [Revolution] [started] [in] [1775] [.]
2. [The] [American] [Revolution] [ended] [in] [1783] [.]",True,"Question: Unscramble the words to form two valid statements about the American Revolution.
Scrambled: [started] [1783] [in] [1775] [American] [Revolution] [The] [ended]
Options:
A. The American Revolution started in 1775.
B. The American Revolution ended in 1783.
C. The American Revolution started in 1783.
D. The American Revolution ended in 1775.
Answers:
1. A
2. B",19.631311178207397
History,University,"Question: Unscramble the words to form a valid statement about a significant event during the American Revolution.
Answers:
1. The Declaration of Independence was adopted in 1776.
2. The Battle of Yorktown effectively ended the war in 1781.
Scrambled: [adopted] [was] [of] [Declaration] [Yorktown] [1781] [1776] [The] [war] [Battle] [Independence] [ended] [in] [effectively] [.]
Answers (formatted):
1. [The] [Declaration] [of] [Independence] [was] [adopted] [in] [1776] [.]
2. [The] [Battle] [of] [Yorktown] [effectively] [ended] [the] [war] [in] [1781] [.]",True,,44.13522386550903
History,University,"Question: Unscramble the sentences to state an important event related to World War II.
Answers:
1. In 1939, Germany invaded Poland.
2. Germany invaded Poland in 1939.
Scrambled: [1939] [,] [Poland] [Germany] [.] [in] [invaded]
Answers (formatted):
1. [In] [1939] [,] [Germany] [invaded] [Poland] [.]
2. [Germany] [invaded] [Poland] [in] [1939] [.]",False,,9.032969951629639
History,University,"Question: Unscramble the scrambled words to form a valid sentence about a key event during the American Revolution.
Answers:
1. In 1776, the Declaration of Independence was adopted.
2. In 1775, the Battle of Lexington and Concord took place.
Scrambled: [Declaration] [adopted] [In] [took] [1776] [.] [,] [and] [was] [the] [Battle] [Lexington] [place] [of] [Concord] [1775]
Answers (formatted):
1. [In] [1776] [,] [the] [Declaration] [of] [Independence] [was] [adopted] [.]
2. [In] [1775] [,] [the] [Battle] [of] [Lexington] [and] [Concord] [took] [place] [.]",True,"Question: Unscramble the scrambled words to form a valid sentence about a key event during the American Revolution.
Scrambled: [Declaration] [adopted] [In] [took] [1776] [.] [,] [and] [was] [the] [Battle] [Lexington] [place] [of] [Concord] [1775] [Independence]
Answers (formatted):
1. [In] [1776] [,] [the] [Declaration] [of] [Independence] [was] [adopted] [.]
2. [In] [1775] [,] [the] [Battle] [of] [Lexington] [and] [Concord] [took] [place] [.]",65.27752995491028
History,University,"Question: Unscramble the words to form a valid sentence about a significant event during the American Civil War.
Answers:
1. The Emancipation Proclamation was issued by Abraham Lincoln in 1863.
2. The Battle of Gettysburg was a turning point in the American Civil War.
Scrambled: [in] [by] [was] [Proclamation] [Lincoln] [Emancipation] [turning] [Gettysburg] [Abraham] [1863] [point] [Battle] [of] [The] [a] [American] [Civil] [issued] [War] [.]
Answers (formatted):
1. [The] [Emancipation] [Proclamation] [was] [issued] [by] [Abraham] [Lincoln] [in] [1863] [.]
2. [The] [Battle] [of] [Gettysburg] [was] [a] [turning] [point] [in] [the] [American] [Civil] [War] [.]",False,,6.470418930053711
History,University,"Question: Unscramble the words to form a valid statement about an event in World War II.
Answers:
1. The United States dropped atomic bombs on Hiroshima and Nagasaki.
2. The Allies liberated concentration camps at the end of World War II.
Scrambled: [the] [United] [dropped] [and] [on] [States] [end] [world] [Hiroshima] [liberated] [atomic] [concentration] [camps] [Nagasaki] [bombs] [Allies] [war] [II] [.]
Answers (formatted):
1. [The] [United] [States] [dropped] [atomic] [bombs] [on] [Hiroshima] [and] [Nagasaki] [.]
2. [The] [Allies] [liberated] [concentration] [camps] [at] [the] [end] [of] [World] [War] [II] [.]",True,,34.54617691040039
History,University,"Question: Unscramble the words to form a valid sentence about a significant event in World War II.
Answers:
1. The United States dropped atomic bombs on Hiroshima and Nagasaki.
2. The Normandy landings marked the beginning of the liberation of Europe.
Scrambled: [The] [Nagasaki] [bulldogs] [Europe] [liberation] [.] [dropped] [and] [Hiroshima] [States] [on] [United] [Normandy] [landings] [atomic] [bombs] [beginning] [the] [of] [marked]
Answers (formatted):
1. [The] [United] [States] [dropped] [atomic] [bombs] [on] [Hiroshima] [and] [Nagasaki] [.]
2. [The] [Normandy] [landings] [marked] [the] [beginning] [of] [the] [liberation] [of] [Europe] [.]",True,"Question: Unscramble the words to form a valid sentence about a significant event in World War II.
Scrambled: [The] [Nagasaki] [bulldogs] [Europe] [liberation] [.] [dropped] [and] [Hiroshima] [States] [on] [United] [Normandy] [landings] [atomic] [bombs] [beginning] [the] [of] [marked]
Options:
A. The United States dropped atomic bombs on Hiroshima and Nagasaki.
B. The Normandy landings marked the beginning of the liberation of Europe.
C. The bulldogs of Nagasaki marked the beginning of the United States landings.
D. The Normandy liberation dropped the beginning of Europe on Hiroshima and Nagasaki.
Answer: A, B",25.329652070999146
